iter	Passed	Remaining
457	816	965
458	817	963
459	819	961
460	821	960
461	822	958
462	823	955
463	825	953
464	826	950
465	827	948
466	828	945
467	829	943
468	831	940
469	832	938
470	833	936
471	836	935
472	837	933
473	839	931
474	840	928
475	841	926
476	842	924
477	843	921
478	845	919
479	846	917
480	847	914
481	849	913
482	851	911
483	852	909
484	854	907
485	855	904
486	856	902
487	858	900
488	859	898
489	860	895
490	861	893
491	864	892
492	865	889
493	866	887
494	867	885
495	868	882
496	869	880
497	871	878
498	872	875
499	873	873
500	874	871
501	875	868
502	877	866
503	879	865
504	881	863
505	882	861
506	883	859
507	884	856
508	885	854
509	887	852
510	888	850
511	889	847
512	890	845
513	891	843
514	894	842
515	895	840
516	897	838
517	898	835
518	899	833
519	900	831
520	901	828
521	902	826
522	903	824
523	904	821
524	905	819
525	907	817
526	909	816
527	911	814
528	912	812
529	913	810
530	914	807
531	915	805
532	916	803
533	918	801
534	919	799
535	920	797
536	921	794
537	924	793
538	925	791
539	926	789
540	927	787
541	928	784
542	930	782
543	931	780
544	932	778
545	933	776
546	934	774
547	936	772
548	938	770
549	939	768
550	940	766
551	942	764
552	943	762
553	944	760
554	946	758
555	947	756
556	948	754
557	949	752
558	951	750
559	953	748
560	954	746
561	955	745
562	957	742
563	958	741
564	959	739
565	961	736
566	962	734
567	963	732
568	965	731
569	967	729
570	968	727
571	969	725
572	970	723
573	971	721
574	972	719
575	974	717
576	975	714
577	976	712
578	977	710
579	978	708
580	981	707
581	982	705
582	984	703
583	985	701
584	986	699
585	987	697
586	988	695
587	989	693
588	991	691
589	992	689
590	993	687
591	996	686
592	997	684
593	998	682
594	999	680
595	1000	678
596	1002	676
597	1003	674
598	1004	672
599	1005	670
600	1007	668
601	1008	666
602	1011	665
603	1012	663
604	1013	662
605	1015	659
606	1016	657
607	1017	655
608	1018	654
609	1019	652
610	1021	650
611	1022	648
612	1023	646
613	1026	645
614	1027	643
615	1028	641
616	1029	639
617	1031	637
618	1032	635
